DataSeries,2023,2018,2013,2008,2003,1998,1993
Total,100,100,100,100,100,100,100
    Food And Food Serving Services,20,19.5,20.6,21.6,21.2,23.8,26.4
        Food And Non-Alcoholic Beverages,6.4,6.4,7.5,8.2,9,10.5,13.1
        Food And Beverage Serving Services,13.6,13.1,13.1,13.3,12.3,13.3,13.3
    Clothing And Footwear,1.7,2,2.7,3.2,3.3,3.9,5.8
    Housing And Related Expenditure,29.8,27.6,29.8,26.3,24.1,24.1,23.5
        Housing And Utilities,24.4,23.1,25.3,22.2,18.5,18.2,17.5
            Imputed Rental Of Owner-Occupied Accommodation,16.7,16.2,18,14.1,11.7,12.5,12.3
"        Furnishing, Household Equipment And Routine Household Maintenance",5.4,4.5,4.4,4.1,5.6,6,6
    Health,6.7,5.2,4.3,4.8,4.3,3.4,2.9
    Transport,13.4,16.9,14.7,15.8,16.3,18.7,18.4
    Information And Communication,3.8,4.5,4.5,6.3,6.5,5.7,3.8
"    Recreation, Sport And Culture",4.7,5.5,6.1,7,9.6,8.2,8
    Education,5.7,6.1,5.7,5.7,5.5,4.7,3.8
    Accommodation Services,1.2,1.1,0.7,0.7,0.2,0.1,0
    Insurance And Financial Services,8.3,6.2,5.1,2.5,2.4,0.9,0.4
    Others,4.9,5.4,5.9,6.1,6.5,6.6,6.9
